Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Shellfish  licence (Y/N),Scallop licence (Y/N)
BRIXHAM,TEIGNMOUTH,FY773,CARA MOR,B14232,22398,NON-SECTOR,5.6,1.64,14.92,18.474,1994,F,GBR,N,N
BRIXHAM,BEER,E28,MY LADY,C17404,23527,NON-SECTOR,5.6,1.4,8.95,15.227,,,,Y,N
BRIXHAM,BRIXHAM,DH14,FISH ON,C19950,25266,NON-SECTOR,5.6,1.05,29.84,24.348,1990,,GBR,N,N
BRIXHAM,TEIGNMOUTH,TH417,VALKYRIE,C16492,33338,NON-SECTOR,5.62,1.65,13.43,18.239,1998,F,GBR,N,N
BRIXHAM,EXMOUTH,E284,SUNSHINE,A16572,30270,NON-SECTOR,5.63,1.04,14,18.799,1964,W,,Y,N
BRIXHAM,PAIGNTON,BM342,OUR WENDY,C19350,24778,NON-SECTOR,5.64,1.08,18.65,21.139,2008,F,PRT,Y,N
BRIXHAM,TEIGNMOUTH,PH101,SNOWDROP,B11559,22740,NON-SECTOR,5.65,1.06,29.84,24.446,1989,F,GBR,N,N
BRIXHAM,DARTMOUTH,DH2,EMILY GRACE,C17601,60127,NON-SECTOR,5.7,1.46,26,23.1,1991,F,GBR,N,N
BRIXHAM,BRIXHAM,BM96,UNITY,C20336,30052,NON-SECTOR,5.7,1.03,36.8,27.732,1980,F,GBR,N,N
BRIXHAM,BRIXHAM,BL1,SOLE TRADER,A15172,33353,NON-SECTOR,5.7,1.15,66.2,42.615,1983,F,GBR,Y,N
BRIXHAM,DARTMOUTH,DH15,ZOOM,A16308,20400,NON-SECTOR,5.7,0.94,86,51.24,1983,F,GBR,Y,N
BRIXHAM,LYNMOUTH,TH21,EYECATCHER,B11689,22781,NON-SECTOR,5.7,1.1,29.4,24.63,1990,F,GBR,Y,N
BRIXHAM,BRIXHAM,E559,RIVER RASCAL,C20324,60267,NON-SECTOR,5.8,1.23,20.08,21.854,2013,F,GBR,Y,N
BRIXHAM,TEIGNMOUTH,TH37,ALICE,A23460,22035,NON-SECTOR,5.8,1.76,20.1,21.805,,F,GBR,Y,N
BRIXHAM,BRIXHAM,E52,WAHOO,C19511,23237,NON-SECTOR,5.8,1.37,55.87,38.25,,F,,N,N
BRIXHAM,BRIXHAM,R84,BUMBLE B,B10202,22380,NON-SECTOR,5.85,1.18,29,25.92,1989,F,,Y,N
BRIXHAM,BRIXHAM,DH9,BELLA,C19519,24899,NON-SECTOR,5.85,0.95,99.4,58.478,2009,F,GBR,N,N
BRIXHAM,BRIXHAM,PZ642,SERENE,A21901,25247,NON-SECTOR,5.88,1.84,15,21.038,1979,F,GBR,Y,N
BRIXHAM,DARTMOUTH,DH179,SEA SOLDIER,A16595,20479,NON-SECTOR,5.9,1.27,15,19.73,1982,F,GBR,Y,N
BRIXHAM,SIDMOUTH,E30,KATHANN,B14602,20478,NON-SECTOR,5.9,1.08,19,21.53,1996,F,GBR,Y,N
