Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Shellfish  licence (Y/N),Scallop licence (Y/N)
PITTENWEEM,ANSTRUTHER,AH3,SINCERE V,B10280,41597,NON-SECTOR,11.2,20.05,125,103.962,1989,S,GBR,N,N
PITTENWEEM,PITTENWEEM,BU37,LILACINA,A24607,11208,NON-SECTOR,11.28,12.14,82,85.066,1980,F,GBR,N,N
PITTENWEEM,PITTENWEEM,KY5,WESTHAVEN III,A24511,11781,NON-SECTOR,11.28,13.46,111.9,97.393,1978,F,,Y,N
PITTENWEEM,FOLKESTONE,KY279,WINAWAY,A16816,10445,THE FIFE FPO LTD,11.4,20.99,179,132.42,1988,F,GBR,N,N
PITTENWEEM,PITTENWEEM,KY459,SANELA,B10026,40510,THE FIFE FPO LTD,11.85,24.2,186.5,140.213,1989,S,GBR,N,Y
PITTENWEEM,ANSTRUTHER,KY989,SHALIMAR,A12043,44347,ANGLO-SCOTTISH FPO LTD,12.19,13.92,70,81.601,1970,W,GBR,N,Y
PITTENWEEM,PITTENWEEM,KY360,ST ADRIAN,A16751,44640,THE FIFE FPO LTD,12.94,24.89,122,110.542,1970,S,GBR,N,N
PITTENWEEM,PITTENWEEM,KY239,VENTURE AGAIN II,C16448,44238,THE FIFE FPO LTD,13.65,27.5,208,164.58,1998,S,GBR,N,Y
PITTENWEEM,PITTENWEEM,FR470,NEW DAWN,C18094,50324,NORTHERN PRODUCERS ORGANISATION LTD,14.95,52.63,339,245.988,2004,W,GBR,N,N
PITTENWEEM,PITTENWEEM,KY4,BAHATI,A10088,41707,NORTHERN IRELAND FPO LTD,16.48,53,221,190.09,1978,W,GBR,N,Y
PITTENWEEM,PITTENWEEM,KY374,LAUNCH OUT,A12224,44377,THE FIFE FPO LTD,17.2,40,128,159.768,1966,W,UNK,Y,Y
PLYMOUTH,JERSEY,J38,CYNTHIA MARY,J10218,12237,NON-SECTOR,10.2,10.54,242.45,148.372,2012,U,GBJ,Y,N
PLYMOUTH,JERSEY,J569,SHARKIE TOO,J10005,11574,NON-SECTOR,10.39,8.76,89.52,72.285,1978,U,GBR,Y,N
PLYMOUTH,SALCOMBE,SE58,GEORGE EDWIN,A22563,11832,NON-SECTOR,10.5,11.21,99.5,90.555,1987,W,GBR,Y,Y
PLYMOUTH,GUERNSEY,GU219,D-IMMP,G00323,11560,NON-SECTOR,10.73,6.73,89.52,82.131,1972,U,GBR,N,N
PLYMOUTH,JERSEY,J204,ANN VIRGINIA,J10026,11593,NON-SECTOR,10.73,16.07,108.13,93.832,1978,U,UNK,Y,N
PLYMOUTH,POLPERRO,FY614,CAZADORA,A17456,10505,CORNISH FPO LTD,10.77,12.89,177,124.669,1985,W,,N,N
PLYMOUTH,GUERNSEY,GU355,HAYLEY B,G00218,12482,NON-SECTOR,10.78,16.78,169,119.493,1988,F,GBR,Y,N
PLYMOUTH,GUERNSEY,GU33,LADY HELEN - S,G00598,40430,NON-SECTOR,10.79,16.34,94.74,85.793,1990,U,GBR,Y,Y
PLYMOUTH,LOOE,FY369,PARAVEL,A17363,11878,SOUTH WESTERN FPO LTD,10.88,16.48,187,133.219,1979,W,GBR,N,
PLYMOUTH,JERSEY,J90,JENNA-DEE,J10016,11583,NON-SECTOR,10.9,14.88,119,97.041,,U,GBR,Y,Y
PLYMOUTH,PLYMOUTH,FY66,LUCY TOO,B11255,12468,SOUTH WESTERN FPO LTD,10.9,12.47,164,122.087,1989,W,GBR,N,N
PLYMOUTH,ILFRACOMBE,BD78,COMPASS ROSE II,A19153,10773,CORNISH FPO LTD,10.98,11.34,95,87.988,1974,F,GBR,Y,N
PLYMOUTH,APPLEDORE,BD11,CEOL NA MARA B,A22016,11450,NON-SECTOR,11,14.75,134,106.5,1988,F,,Y,N
PLYMOUTH,SALCOMBE,SE74,SALCOMBE LASS,A22570,11027,NON-SECTOR,11,6.54,66,68.31,1966,W,GBR,Y,N
PLYMOUTH,LOOE,FY24,ELLA,B10572,11296,CORNISH FPO LTD,11.3,17.89,221,148.605,1989,F,GBR,N,N
PLYMOUTH,LOOE,FY602,NATALIE,B11885,11441,CORNISH FPO LTD,11.35,18.97,178,128.338,1990,F,GBR,N,N
PLYMOUTH,PLYMOUTH,FH6,CELESTIAL DAWN,B10192,12396,NON-SECTOR,11.39,11.35,150,114.199,1988,F,GBR,N,N
PLYMOUTH,PLYMOUTH,PH1017,MERLIN,C20470,44400,NON-SECTOR,11.5,9.03,96,84.255,2013,F,GBR,N,N
PLYMOUTH,BRIXHAM,BM9,LADY JEAN,B11798,40531,CORNISH FPO LTD,11.52,26.47,172,129.24,1990,S,GBR,N,N
PLYMOUTH,JERSEY,J365,THESEUS II,J10054,11954,NON-SECTOR,11.53,7.63,186.43,121.942,2002,U,IRL,N,N
PLYMOUTH,JERSEY,J485,GOLDEN GRAIN,J10019,11586,NON-SECTOR,11.58,19.05,112,102.973,1974,U,FRA,Y,N
PLYMOUTH,ILFRACOMBE,BD88,GREEN EYE,C20448,50312,NON-SECTOR,11.6,13.9,220,145.516,2013,F,GBR,Y,N
PLYMOUTH,LOOE,FY59,SWALLOW,B11283,11392,SOUTH WESTERN FPO LTD,11.65,11.36,158,114.787,1989,F,GBR,N,N
PLYMOUTH,PLYMOUTH,TH169,GERRY ANN,A23525,11608,SOUTH WESTERN FPO LTD,11.74,21.95,159,128.841,1967,W,,N,N
PLYMOUTH,ILFRACOMBE,BD4,OUR JENNY,C19884,12125,NON-SECTOR,11.75,12.97,122,106.6,2011,F,GBR,Y,N
PLYMOUTH,JERSEY,J444,PROGRESS,J10043,11763,NON-SECTOR,11.8,23.1,169.34,131.073,1989,U,GBR,N,Y
PLYMOUTH,LOOE,SM799,CHARELLA OF SHOREHAM,A15995,11858,SOUTH WESTERN FPO LTD,11.86,21.42,201.34,148.954,1983,S,GBR,N,Y
PLYMOUTH,PLYMOUTH,J173,LE BULOTIER,J10224,12262,NON-SECTOR,11.86,14.96,155.4,117.37,1991,U,,Y,N
PLYMOUTH,LOOE,FY38,MAXINES PRIDE,A17180,10480,CORNISH FPO LTD,11.89,26.26,221,159.732,1984,W,GBR,N,N
PLYMOUTH,JERSEY,J486,MARIE GALANTE,J10216,12181,NON-SECTOR,11.9,17.72,175,158.11,1970,U,FRA,N,Y
PLYMOUTH,PLYMOUTH,GU168,DEFIANCE,G00610,41652,SOUTH WESTERN FPO LTD,11.9,24.71,198,148.838,,U,GBG,N,N
PLYMOUTH,SALCOMBE,SE150,CLAIRE LOUISE,B13209,12330,NON-SECTOR,11.9,17.62,94,96.802,1978,W,GBR,Y,N
PLYMOUTH,BIDEFORD,BM211,SUE ELLEN,A14895,10262,CORNISH FPO LTD,11.93,23.1,128,118.324,1985,S,GBR,N,Y
PLYMOUTH,PLYMOUTH,E123,EMILY J,C18290,12085,CORNISH FPO LTD,11.93,26.53,221,164.588,2004,S,GBR,N,Y
PLYMOUTH,ILFRACOMBE,BD267,LADY OF LUNDY,C19205,11987,NON-SECTOR,11.95,11.69,290.8,189.056,2007,F,GBR,Y,N
PLYMOUTH,PLYMOUTH,E333,JAY C,C19787,12148,CORNISH FPO LTD,11.95,25.23,219.98,165.074,2010,S,GBR,N,Y
PLYMOUTH,PLYMOUTH,FY28,GUARDIAN,C20452,12451,NON-SECTOR,11.95,22.32,220,161.499,2013,F,GBR,Y,Y
PLYMOUTH,PLYMOUTH,TH24,MIDNIGHT SUN,B14632,10997,NON-SECTOR,11.99,27.67,160.39,127.329,1996,F,GBR,N,N
PLYMOUTH,LOOE,R159,MARET,A22069,10976,CORNISH FPO LTD,12.16,15.05,112,102.323,1963,W,DEU,N,N
PLYMOUTH,JERSEY,J55,FULLBORE II,J10053,11951,NON-SECTOR,12.19,20.95,745.7,396.881,1995,U,GBR,Y,N
PLYMOUTH,PLYMOUTH,PW64,TREVOSE,A21386,10884,CORNISH FPO LTD,12.44,18.23,126.82,116.657,1986,W,GBR,Y,N
PLYMOUTH,GUERNSEY,GU110,GINA LOUISE,G00608,11627,SOUTH WESTERN FPO LTD,12.47,22.03,134,115.916,,U,,N,N
PLYMOUTH,ILFRACOMBE,BD288,NEMO,C19592,12461,CORNISH FPO LTD,12.83,13.33,253,162.989,2004,F,IRL,Y,N
PLYMOUTH,PLYMOUTH,RX39,LISA ANN,B10895,11340,SOUTH WESTERN FPO LTD,12.83,26.91,186,142.077,1989,S,GBR,N,Y
PLYMOUTH,JERSEY,J115,SUNSTRIKER,J10074,12045,NON-SECTOR,13.26,22.41,559.6,310.164,1972,U,NOR,N,N
PLYMOUTH,BIDEFORD,NN722,CERULEAN,C17338,11993,CORNISH FPO LTD,13.43,28.35,189,149.783,2001,S,GBR,N,Y
PLYMOUTH,PLYMOUTH,BM493,OCEAN SPIRIT,C16707,11805,SOUTH WESTERN FPO LTD,13.7,29.69,220,172.98,1999,,GBR,N,Y
PLYMOUTH,LOOE,FY221,SWIFTSURE II,C20586,11091,CORNISH FPO LTD,13.87,28.76,205,163.264,2014,F,GBR,Y,N
PLYMOUTH,PLYMOUTH,BM422,PROVIDER II,C17264,40959,CORNISH FPO LTD,14,36.03,221,176.45,2001,S,GBR,N,N
PLYMOUTH,GUERNSEY,GU399,SARAH-P,G00335,11536,NON-SECTOR,14.32,38.86,223.8,175.747,1989,F,GBR,Y,N
PLYMOUTH,GUERNSEY,GU116,AMY BLUE,G00489,12436,NON-SECTOR,14.33,32.13,221,172.246,1993,U,IRL,N,Y
PLYMOUTH,PLYMOUTH,PH122,BOSLOE,A21056,10855,NON-SECTOR,14.39,23.59,95,108.512,1966,W,GBR,Y,N
PLYMOUTH,PLYMOUTH,PH215,BOY ETHAN,B10872,44584,SOUTH WESTERN FPO LTD,14.45,37.16,163,149.935,1977,S,FRA,N,Y
PLYMOUTH,PLYMOUTH,PH411,SILVER STREAM,A21227,10868,SOUTH WESTERN FPO LTD,14.55,36.17,119,124.845,1966,W,FRA,N,N
PLYMOUTH,PLYMOUTH,BM367,BON ACCORD,A12086,11921,CORNISH FPO LTD,14.93,29.41,179,153.856,1968,S,GBR,N,Y
PLYMOUTH,BIDEFORD,BD247,SPARKLING STAR III,C18266,12212,CORNISH FPO LTD,14.95,52.95,156.66,158.702,2004,S,GBR,N,Y
