Ship name,Home port,Lat,Lng,Total quota
GERT JAN,SCARBOROUGH,54.283113,-0.399752,1
MERLIN,GRIMSBY,53.567471,-0.080784,1
VIKING WARRIOR,CEMAES BAY,53.412797,-4.451736,1
SARAH H,HOLYHEAD,53.309441,-4.633038,1
SARAH H,HOLYHEAD,53.309441,-4.633038,1
PAMELA MARY,KINGS LYNN,52.75649,0.4001739,1
SEIONT A,WHITSTABLE,51.361047,1.024256,1
SEIONT A,WHITSTABLE,51.361047,1.024256,1
AMADEUS,BRIXHAM,50.39514,-3.513924,1
SAPPHIRE II,NEWLYN,50.107058,-5.5503289,1
GREEN BRAE,GREENCASTLE,39.6444898,-86.8647316,1
