Ship name,Home port,Lat,Lng,Total quota
ASPIRE II,CAMPBELTOWN,55.424117,-5.605374,364
ALLIANCE,CAMPBELTOWN,55.424117,-5.605374,360
LYONESSE,NEWLYN,50.107058,-5.5503289,360
VIRTUOUS,FRASERBURGH,57.693352,-2.007631,359
CHARLES EDWARD,FOLKESTONE,51.081397,1.169456,358
SILVER FERN,ARDGLASS,54.26019,-5.61015,356
CRUSADER,FLEETWOOD,53.916661,-3.035673,356
GLENUGIE,PETERHEAD,57.508123,-1.784066,355
CORINA II,LOWESTOFT,52.481138,1.753449,347
SANELA,PITTENWEEM,56.214,-2.732285,340
GIRL DEBRA,BRIXHAM,50.39514,-3.513924,340
GOLDEN FLEECE,NORTH SHIELDS,55.010762,-1.449138,335
JACOMINA,BRIXHAM,50.39514,-3.513924,332
TRANQUILITY,LERWICK,60.155823,-1.144569,323
PROVIDER II,PLYMOUTH,50.3754565,-4.1426565,321
CABO ORTEGAL,TROON,55.541332,-4.659948,320
DESTINY,CAMPBELTOWN,55.424117,-5.605374,311
KAYLANA,KINLOCHBERVIE,58.458818,-5.049152,303
SINCERITY,STORNOWAY,58.209435,-6.3848692,300
SINCERE V,ANSTRUTHER,56.22298,-2.700539,300
IMOGEN III,NEWLYN,50.107058,-5.5503289,300
KINLOCH,WHITEHAVEN,54.549699,-3.589233,296
GIRL JEAN,PORT SETON,55.9703078,-2.9455236,291
DOMINATOR A,WHITBY,54.486335,-0.613347,284
ELLEN,PORTAVOGIE,54.46208,-5.44743,283
MIA JANE W,FRASERBURGH,57.693352,-2.007631,280
OCEAN HARVEST,MEVAGISSEY,50.270076,-4.787462,275
SHALANNA,GARDENSTOWN,57.666,-2.333,270
GALENA,KILKEEL,54.0630359,-6.0069415,269
MAIRI ANNA,ULLAPOOL,57.895418,-5.161313,266
DAYSTAR,FRASERBURGH,57.693352,-2.007631,266
LILACINA,PITTENWEEM,56.214,-2.732285,266
MARET,LOOE,50.3562269,-4.455232,266
MARET,LOOE,50.3562269,-4.455232,266
MARET,LOOE,50.3562269,-4.455232,266
JUBILEE SPIRIT,GRIMSBY,53.567471,-0.080784,265
MERCURIUS,MILFORD HAVEN,51.714306,-5.042697,265
LADY K,HOLYHEAD,53.309441,-4.633038,264
HOPE,SOUTHAMPTON,50.9097004,-1.4043509,263
KING EXPLORER,KIRKCUDBRIGHT,54.837569,-4.04878,261
KING EXPLORER,KIRKCUDBRIGHT,54.837569,-4.04878,261
SOLAN,NORTH SHIELDS,55.010762,-1.449138,256
BARBARA ANNE,WHITEHAVEN,54.549699,-3.589233,254
ADORATION II,CAMPBELTOWN,55.424117,-5.605374,252
ZOLEE,CAMPBELTOWN,55.424117,-5.605374,250
NAZANNA,WHITBY,54.486335,-0.613347,249
CATRIONA,PETERHEAD,57.508123,-1.784066,248
ACCORD III,OBAN,56.415157,-5.471047,247
OUR JAMES,MARYPORT,54.714441,-3.49494,246
IRIS,STORNOWAY,58.209435,-6.3848692,241
BETTY G II,EXMOUTH,50.619957,-3.413702,240
EQUINOX,BRIXHAM,50.39514,-3.513924,240
CAZADORA,POLPERRO,50.3316144,-4.5169902,238
BOUNTIFULL,PORTREE,57.412474,-6.196023,237
KING CHALLENGER,KIRKCUDBRIGHT,54.837569,-4.04878,237
VIRGO,BRIXHAM,50.39514,-3.513924,234
ELLEN,PORTAVOGIE,54.46208,-5.44743,233
EMMA KATHLEEN,GOURDON,44.736788,1.381867,229
TWILIGHT STAR,LEIGH-ON-SEA,51.5474028,0.6472769,226
SPARKLING STAR III,BIDEFORD,51.016684,-4.206666,226
GUIDING LIGHT III,PLYMOUTH,50.3754565,-4.1426565,225
RELIANCE,CAMPBELTOWN,55.424117,-5.605374,214
ZEPHYR,KILKEEL,54.0630359,-6.0069415,214
RED VIXEN,MEVAGISSEY,50.270076,-4.787462,212
SUSTAIN,PETERHEAD,57.508123,-1.784066,211
REBECCA,EYEMOUTH,55.869058,-2.091068,211
FULMAR,EYEMOUTH,55.869058,-2.091068,211
REVENGE,KIRKWALL,58.984674,-2.962249,210
BORDER LASSIE,MARYPORT,54.714441,-3.49494,210
ARCTIC MOON,AYR,55.458564,-4.629179,209
SHALIMAR,KIRKWALL,58.984674,-2.962249,207
KERRIE MARIE,BRIXHAM,50.39514,-3.513924,206
SOWENNA,NEWLYN,50.107058,-5.5503289,201
ATLAS,CAMPBELTOWN,55.424117,-5.605374,200
ATLAS,CAMPBELTOWN,55.424117,-5.605374,200
ATLAS,CAMPBELTOWN,55.424117,-5.605374,200
TRUE VINE,AMBLE,55.331461,-1.585261,200
OUR GRACE,KILKEEL,54.0630359,-6.0069415,200
SUE ELLEN,BIDEFORD,51.016684,-4.206666,200
SILVER STREAM,PLYMOUTH,50.3754565,-4.1426565,200
MARACESTINA,PETERHEAD,57.508123,-1.784066,198
ST APOLLO,KIRKCUDBRIGHT,54.837569,-4.04878,197
VIKINGBORG,MALLAIG,57.003813,-5.827173,194
ELLA,LOOE,50.3562269,-4.455232,193
BOUNTIFUL,FRASERBURGH,57.693352,-2.007631,191
DEFIANCE,FRASERBURGH,57.693352,-2.007631,190
FIVE SISTERS,CAMPBELTOWN,55.424117,-5.605374,190
NEW SEEKER,LYME REGIS,50.725156,-2.936639,185
KARINYA,FRASERBURGH,57.693352,-2.007631,184
FREEDOM II,SUNDERLAND,54.906869,-1.383801,183
